Job Zone,STEM Level,Data Type,DTU,AA Level
3,3.235,Geographic,Low,Low
5,4.341,Image,High,High
5,4.341,Audio,Medium,Medium
5,4.341,Alphanumeric,High,High
5,4.341,Geographic,Low,Low
5,4.225,Image,Low,Low
5,4.225,Audio,Low,Low
3,3.161,Image,Medium,Low
3,3.161,Audio,Medium,Low
3,3.161,Geographic,Low,Low
4,3.147,Image,Medium,Low
4,3.147,Audio,Low,Low
4,3.147,Geographic,Low,Low
5,4.225,Alphanumeric,High,High
5,4.225,Geographic,Low,Low
5,3.972,Image,Medium,Medium
5,3.972,Audio,Medium,Medium
5,3.972,Alphanumeric,Medium,Medium
5,3.972,Geographic,Low,Low
3,3.091,Image,Medium,Low
3,3.091,Geographic,Low,Low
5,3.935,Image,Medium,Medium
5,3.935,Audio,Medium,Medium
5,3.935,Alphanumeric,High,Low
5,3.935,Geographic,Low,Low
5,3.867,Image,Medium,Medium
5,3.867,Audio,Low,Low
5,3.867,Alphanumeric,High,Low
5,3.867,Geographic,Low,Low
5,3.782,Image,Medium,Medium
5,3.782,Audio,Medium,Low
5,3.782,Alphanumeric,High,Low
5,3.782,Geographic,Medium,Medium
5,3.038,Image,Low,Low
4,3.038,Audio,Low,Low
4,3.038,Geographic,Low,Low
4,3.034,Image,Low,Low
4,3.034,Audio,Medium,Low
4,2.985,Geographic,Low,Low
4,2.985,Audio,Medium,Low
3,2.981,Geographic,Medium,Low
3,2.981,Audio,Medium,Low
5,3.751,Geographic,Low,Low
5,3.751,Image,Low,Low
5,3.751,Audio,High,Low
4,2.946,Alphanumeric,Medium,Low
4,2.946,Image,Medium,Low
4,2.945,Audio,Low,Low
4,2.945,Image,Low,Low
4,3.751,Audio,Low,Low
4,3.704,Geographic,Low,Low
4,3.704,Image,Low,Low
4,2.898,Image,Low,Low
4,2.898,Image,Low,Low
4,2.898,Audio,Medium,Low
5,2.881,Geographic,Low,Low
5,2.881,Image,Low,Low
5,2.881,Image,Low,Low
4,2.881,Audio,Low,Low
4,2.881,Audio,Medium,Low
4,2.881,Geographic,Low,Low
3,3.704,Audio,Low,Low
3,3.704,Audio,Low,Low
3,3.704,Alphanumeric,Medium,Medium
3,2.84,Image,Medium,Low
3,2.84,Audio,Medium,Low
3,2.84,Geographic,Medium,Low
3,2.827,Audio,Low,Low
3,2.827,Geographic,Medium,Low
5,2.763,Image,Medium,Low
5,2.763,Audio,Low,Low
5,2.763,Geographic,Low,Low
4,2.762,Image,Low,Low
4,2.762,Audio,Low,Low
4,2.762,Geographic,Medium,Low
3,2.759,Image,Medium,Low
3,2.759,Audio,Medium,Low
4,2.759,Geographic,Medium,Low
4,2.754,Geographic,Low,Low
4,2.754,Geographic,Low,Low
2,2.754,Alphanumeric,Medium,Low
2,2.754,Geographic,Low,Low
2,2.754,Geographic,Low,Low
4,2.754,Image,Low,Low
4,2.743,Audio,Low,Low
4,3.704,Geographic,Medium,Medium
4,3.704,Image,Low,Low
4,3.704,Audio,Low,Low
3,2.712,Geographic,Low,Low
5,2.712,Image,Medium,Low
5,2.712,Audio,Low,Low
3,2.709,Geographic,Low,Low
3,2.709,Audio,Medium,Low
3,2.709,Geographic,Low,Low
1,2.675,Audio,Low,Low
1,2.675,Geographic,Low,Low
1,2.675,Geographic,Low,Low
3,2.661,Image,Low,Low
3,2.661,Audio,Low,Low
